Customer ID,Age,Gender,Name,Income Level,Location,Loyalty Program,Purchase Frequency,Mail ID
C0022,25,Female,Timothy Mann,"<25,000",Ahmedabad,Yes,High,troy32@example.org
C0023,58,Male,Jacqueline Walton,"<25,000",Hyderabad,Yes,Low,michaelruiz@example.com
C0024,31,Female,Patricia Leon,"75,000-99,999",Bangalore,Yes,Medium,samuel86@example.net
C0025,48,Female,Angela White,"100,000+",Delhi,No,High,greenecatherine@example.org
C0026,47,Female,Karen Gilmore,"25,000-49,999",Hyderabad,No,High,ihernandez@example.com
C0027,37,Male,Jennifer Richardson,"75,000-99,999",Jaipur,Yes,Low,karen02@example.org
C0028,22,Male,Shelley Marks,"100,000+",Jaipur,Yes,High,michael34@example.org
C0029,33,Female,Amy Hood DDS,"75,000-99,999",Bangalore,Yes,High,khoward@example.net
C0030,22,Male,Christopher Brown,"25,000-49,999",Hyderabad,Yes,High,danielbush@example.com
C0031,44,Male,David Patterson,"75,000-99,999",Pune,Yes,High,antonio42@example.net
C0032,51,Male,Robert Sullivan,"50,000-74,999",Delhi,Yes,Low,sheri46@example.org
C0033,39,Female,Jon Brown,"50,000-74,999",Surat,Yes,Medium,darren98@example.org
C0034,67,Male,Jennifer Knight,"75,000-99,999",Mumbai,No,Low,richard23@example.org
C0035,57,Female,Anthony Tran,"50,000-74,999",Pune,Yes,Low,dzimmerman@example.com
C0036,73,Female,David Phelps,"50,000-74,999",Kolkata,No,Medium,amy58@example.com
C0037,67,Male,Amanda Gutierrez,"100,000+",Ahmedabad,Yes,Low,castillojenny@example.org
C0038,38,Male,Lisa Williams,"25,000-49,999",Chennai,No,Low,ericksonryan@example.org
C0039,26,Male,Justin Charles,"50,000-74,999",Mumbai,Yes,Low,fabbott@example.com
C0040,63,Male,Tiffany Johnson,"25,000-49,999",Pune,No,High,mharrison@example.net
C0041,82,Female,Steven Bailey,"<25,000",Ahmedabad,No,Medium,gabriellesmall@example.com
C0042,26,Male,Shelly Williams,"75,000-99,999",Ahmedabad,No,High,kimberlyriggs@example.net
C0043,35,Female,Jason Buckley,"50,000-74,999",Bangalore,No,Low,davidwilliams@example.com
C0044,54,Male,Eduardo Brock,"50,000-74,999",Bangalore,Yes,High,christopherryan@example.org
C0045,35,Female,Jason Wagner,"50,000-74,999",Chennai,Yes,Low,clintonhebert@example.org
C0046,35,Female,Lisa Hansen,"100,000+",Bangalore,No,High,nfreeman@example.net
C0047,54,Male,Jean Johnson,"25,000-49,999",Jaipur,Yes,High,edwinryan@example.com
C0048,34,Female,Jacqueline Davis,"75,000-99,999",Kolkata,No,High,brian61@example.org
C0049,81,Male,Julia Roberts,"25,000-49,999",Pune,No,Medium,andreagomez@example.com
C0050,65,Male,Michelle Dixon,"25,000-49,999",Mumbai,Yes,Medium,emason@example.com
C0051,66,Male,Courtney Maddox,"<25,000",Delhi,Yes,Low,brennansuzanne@example.net
C0052,39,Male,Anthony Cooper,"100,000+",Kolkata,Yes,Low,burchcesar@example.com
C0053,24,Male,Penny Knight,"100,000+",Jaipur,Yes,High,whitneykyle@example.org
C0054,24,Male,Meagan Perez,"75,000-99,999",Delhi,No,High,umccarty@example.net
C0055,39,Female,Matthew Jones,"25,000-49,999",Delhi,Yes,High,pandrade@example.com
C0056,57,Male,Julie Salinas,"50,000-74,999",Jaipur,Yes,Medium,castillojoseph@example.com
C0057,70,Male,William Ritter,"75,000-99,999",Kolkata,No,Medium,edward71@example.org
C0058,61,Male,Nicole Ray,"100,000+",Kanpur,Yes,Medium,lisamaynard@example.net
C0059,22,Female,Sherri Valenzuela,"75,000-99,999",Ahmedabad,Yes,Medium,madison12@example.net
C0060,36,Female,Robert Mosley,"75,000-99,999",Hyderabad,Yes,High,ricky54@example.net
C0061,50,Female,Sierra Heath,"75,000-99,999",Surat,No,Low,christiantheresa@example.org
C0062,72,Female,Courtney Torres,"100,000+",Ahmedabad,Yes,High,xhicks@example.net
C0063,84,Female,Teresa Tyler,"100,000+",Jaipur,Yes,Low,villegaskristopher@example.com
C0064,47,Male,Joshua Mack,"50,000-74,999",Ahmedabad,Yes,Medium,emilysanchez@example.com
C0065,30,Female,Holly Wiggins,"75,000-99,999",Chennai,Yes,High,alexander75@example.org
C0066,27,Male,Matthew Craig,"25,000-49,999",Surat,Yes,Medium,hornnicole@example.com
C0067,62,Male,Zachary Turner,"<25,000",Bangalore,Yes,Low,johnsonrichard@example.net
C0068,74,Female,Reginald Harvey,"<25,000",Kanpur,Yes,Medium,jessicamcdaniel@example.org
C0069,29,Female,Brad Kelley,"75,000-99,999",Pune,Yes,Low,ocarr@example.com
C0070,36,Female,Phillip Freeman,"50,000-74,999",Ahmedabad,Yes,High,kellyjane@example.org
C0071,54,Male,Mr. Michael Webb,"75,000-99,999",Kanpur,Yes,High,christopher62@example.com
C0072,32,Male,Melissa Marsh,"75,000-99,999",Jaipur,Yes,Low,hbarnett@example.org
C0073,39,Female,Terri Ibarra,"75,000-99,999",Bangalore,Yes,Medium,johnsondale@example.com
C0074,40,Male,Shannon Douglas,"<25,000",Kanpur,Yes,Medium,preston06@example.org
C0075,68,Female,Mark Hill,"75,000-99,999",Hyderabad,Yes,High,waltonsandra@example.org
C0076,71,Female,Jasmine Thomas,"100,000+",Mumbai,Yes,High,nicole61@example.org
C0077,71,Male,Julie Richards,"100,000+",Bangalore,No,Medium,seanchambers@example.com
C0078,78,Female,Michelle Burns,"50,000-74,999",Ahmedabad,No,Low,tonya75@example.org
C0079,43,Female,Katherine Marshall,"75,000-99,999",Jaipur,Yes,Medium,jbennett@example.net
C0080,69,Male,Michael Wagner,"25,000-49,999",Chennai,No,Low,qstanley@example.net
C0081,27,Female,Jeffrey Orr,"75,000-99,999",Mumbai,No,Low,qblair@example.net
C0082,45,Male,Angela Little,"100,000+",Pune,No,Medium,ericawagner@example.org
C0083,53,Female,Eric Johnson,"<25,000",Kanpur,No,Medium,benjaminshields@example.net
C0084,36,Male,Haley Robertson,"75,000-99,999",Chennai,No,Medium,shannonclay@example.com
C0085,67,Male,Richard Smith,"25,000-49,999",Chennai,Yes,High,davidsmith@example.net
C0086,79,Female,Tracy Lee DVM,"50,000-74,999",Jaipur,No,Low,brooke78@example.com
C0087,25,Female,Travis Weber,"75,000-99,999",Hyderabad,Yes,High,etorres@example.org
C0088,51,Male,Debra Shelton,"50,000-74,999",Pune,No,Medium,teresadonaldson@example.net
C0089,76,Female,Matthew Reeves,"75,000-99,999",Chennai,No,Low,cookhannah@example.org
C0090,56,Female,Martin Sanchez,"75,000-99,999",Lucknow,Yes,Low,andrew71@example.org
C0091,81,Male,Alexandra Turner,"50,000-74,999",Pune,No,Low,jeffreyestrada@example.com
C0092,55,Female,Sarah Rodriguez,"<25,000",Bangalore,Yes,Medium,david58@example.org
C0093,29,Male,Jaime Rowland,"50,000-74,999",Surat,No,Low,john89@example.net
C0094,39,Female,Daniel Owens,"75,000-99,999",Chennai,Yes,Low,marialewis@example.com
C0095,49,Female,Brittany Hughes,"25,000-49,999",Kanpur,No,Low,piercecole@example.net
C0096,81,Female,Martin Stevens,"75,000-99,999",Delhi,Yes,Medium,jonesrachel@example.org
C0097,39,Male,Brett Lozano,"25,000-49,999",Bangalore,No,Low,elizabethsimmons@example.org
C0098,78,Female,Rachel Reyes,"<25,000",Pune,Yes,Low,salazarjoseph@example.com
C0099,23,Male,Keith Maddox,"<25,000",Bangalore,No,High,lopezryan@example.org
C00100,68,Male,Lisa Hernandez,"50,000-74,999",Hyderabad,Yes,Medium,michaelruiz@example.com
C00101,47,Male,Marie Watts,"50,000-74,999",Ahmedabad,No,Medium,kimberlyklein@example.net
C00102,82,Male,Mary Mills,"50,000-74,999",Jaipur,Yes,Medium,raymond80@example.com
C00103,52,Male,Catherine Green,"25,000-49,999",Ahmedabad,Yes,Low,ryanstephanie@example.org
C00104,22,Male,Omar Bradshaw,"75,000-99,999",Bangalore,Yes,Low,anna98@example.com
C00105,79,Female,Victor Logan,"50,000-74,999",Lucknow,No,High,hoganjennifer@example.com
C00106,51,Female,Jeffrey Miller,"<25,000",Lucknow,No,High,kevin90@example.com
C00107,57,Male,Cody Long,"25,000-49,999",Mumbai,No,High,scottsanchez@example.org
C00108,51,Male,Rachael Dickson,"100,000+",Mumbai,Yes,Low,bettycox@example.com
C00109,31,Male,Martha Stone,"100,000+",Kanpur,Yes,High,shannonwong@example.org
C00110,69,Male,Mark Hunt,"75,000-99,999",Ahmedabad,Yes,Medium,beth38@example.com
C00111,74,Female,Steve Pena,"100,000+",Kolkata,Yes,High,mrowe@example.net
C00112,44,Female,Samuel Trevino,"100,000+",Kolkata,Yes,High,benjamin62@example.org
C00113,48,Male,Jasmine Chang,"25,000-49,999",Hyderabad,No,Medium,anthony59@example.com
C00114,33,Female,Laurie Brown,"75,000-99,999",Kanpur,No,High,melanie40@example.org
C00115,48,Male,Amanda Davis,"<25,000",Mumbai,No,Medium,whitneywashington@example.org
C00116,81,Female,Colin Myers,"50,000-74,999",Hyderabad,No,High,srobinson@example.org
C00117,62,Female,Ashley Jones,"100,000+",Pune,Yes,Medium,robert05@example.net
C00118,27,Female,Neil Johnson,"25,000-49,999",Jaipur,No,Medium,carriegarcia@example.net
C00119,26,Male,Jonathan Wyatt,"75,000-99,999",Hyderabad,Yes,High,charlotte13@example.org
C00120,33,Male,Christian Kennedy,"100,000+",Mumbai,Yes,Medium,dperkins@example.org
C00121,38,Male,Rachel Brown,"25,000-49,999",Kolkata,Yes,High,hwilliams@example.net
C00122,61,Male,Andrew Wright,"75,000-99,999",Lucknow,Yes,High,esmith@example.com
C00123,82,Female,Debra Garcia,"75,000-99,999",Hyderabad,Yes,High,halvarez@example.com
C00124,34,Male,Mathew Bass,"<25,000",Chennai,No,High,mayobenjamin@example.net
C00125,64,Female,Jack Ford,"50,000-74,999",Delhi,Yes,Low,davidlivingston@example.net
C00126,48,Female,Jennifer Clark,"50,000-74,999",Bangalore,Yes,Medium,nkim@example.com
C00127,49,Male,Laura Ramos,"100,000+",Kolkata,No,Medium,whensley@example.com
C00128,21,Female,Jerome Daniels,"25,000-49,999",Bangalore,No,Low,uward@example.net
C00129,41,Male,Angel Jones,"100,000+",Ahmedabad,No,Medium,pguerra@example.com
C00130,24,Female,Austin Moss,"100,000+",Kolkata,No,Medium,amyreid@example.com
C00131,54,Female,Brian Rogers,"75,000-99,999",Surat,No,Low,hklein@example.com
C00132,78,Male,Ronald Gallegos,"100,000+",Bangalore,Yes,High,mary85@example.com
C00133,39,Male,David Evans,"50,000-74,999",Kanpur,No,Low,brownmichael@example.org
C00134,82,Female,Joseph Horn,"50,000-74,999",Mumbai,Yes,High,ycochran@example.net
C00135,52,Female,Danny Ellis,"100,000+",Chennai,No,High,sbowers@example.org
C00136,70,Male,Paige Ritter,"50,000-74,999",Mumbai,No,High,jasmine26@example.net
C00137,28,Female,Alan Sanchez,"75,000-99,999",Jaipur,Yes,High,williamsullivan@example.net
C00138,66,Male,Mr. Steven Simon,"100,000+",Jaipur,Yes,High,isaac42@example.org
C00139,61,Male,George Adams,"<25,000",Kolkata,Yes,Medium,margaret91@example.org
C00140,37,Male,Billy Pacheco,"25,000-49,999",Mumbai,No,Medium,james13@example.org
C00141,22,Male,Autumn White,"75,000-99,999",Pune,Yes,Low,destinygarner@example.net
C00142,64,Female,Maria Stout,"100,000+",Jaipur,Yes,Low,lkelly@example.com
C00143,53,Female,Casey Smith,"100,000+",Hyderabad,Yes,High,whitemark@example.net
C00144,51,Female,Sherry Gray,"25,000-49,999",Mumbai,No,Medium,kgoodwin@example.net
C00145,38,Male,Rick Owens,"50,000-74,999",Chennai,No,Medium,kenneth10@example.com
C00146,33,Male,Kenneth Moran,"50,000-74,999",Surat,Yes,High,johnsonheather@example.com
C00147,64,Male,Tonya Lawson,"75,000-99,999",Ahmedabad,Yes,Medium,hammondterri@example.org
C00148,56,Male,Alexis Mcpherson,"50,000-74,999",Mumbai,Yes,Medium,juanfox@example.org
C00149,64,Male,Jeffrey Santos,"<25,000",Pune,Yes,High,hroberson@example.com
C00150,42,Male,Lindsey Spencer,"25,000-49,999",Bangalore,No,Medium,samanthacraig@example.net
C00151,53,Male,Jessica Torres,"25,000-49,999",Kanpur,No,Low,robin49@example.com
C00152,42,Male,Jessica Collins,"25,000-49,999",Surat,No,Low,kevin57@example.com
C00153,60,Female,Leon Hunt,"25,000-49,999",Ahmedabad,No,Low,ghanson@example.org
C00154,25,Male,Andres Frank,"50,000-74,999",Mumbai,Yes,High,jacksonwilliam@example.com
C00155,50,Female,Jason Benson,"25,000-49,999",Mumbai,No,High,ryanhall@example.com
C00156,36,Male,John Garner,"25,000-49,999",Chennai,Yes,Medium,laurie78@example.net
C00157,52,Male,Jonathan Riley,"25,000-49,999",Delhi,Yes,Low,danielle01@example.net
C00158,34,Male,Hunter Jackson,"<25,000",Hyderabad,No,Medium,manuelfox@example.org
C00159,45,Female,Ashley Williams,"75,000-99,999",Jaipur,Yes,High,daviskelly@example.org
C00160,32,Female,Debra Robinson,"25,000-49,999",Chennai,Yes,High,vwebb@example.net
C00161,66,Male,Virginia Summers,"75,000-99,999",Kolkata,Yes,Low,dnguyen@example.com
C00162,49,Female,Cynthia Berry,"<25,000",Pune,No,Low,cooperann@example.org
C00163,65,Female,Rhonda Palmer,"25,000-49,999",Ahmedabad,Yes,High,patricia37@example.com
C00164,26,Female,Cathy Perez,"<25,000",Kanpur,No,Low,emilyferguson@example.org
C00165,39,Female,Steven Wheeler,"25,000-49,999",Ahmedabad,Yes,High,courtneyshields@example.net
C00166,40,Male,Sandra Stewart,"<25,000",Kanpur,No,High,mariagonzalez@example.net
C00167,31,Male,Angel Collins,"100,000+",Ahmedabad,No,Medium,diane86@example.com
C00168,47,Female,Stephanie Williams,"<25,000",Hyderabad,No,Medium,vincentchristopher@example.net
C00169,80,Male,Joe Myers,"25,000-49,999",Ahmedabad,No,High,ryan76@example.com
C00170,22,Female,Steven Pierce,"<25,000",Surat,Yes,High,tsanchez@example.com
C00171,27,Male,Raymond Roberson,"100,000+",Lucknow,No,Low,smithstacy@example.org
C00172,55,Female,Tyler Combs,"75,000-99,999",Chennai,No,Low,erica72@example.org
C00173,62,Male,Andre Steele,"<25,000",Bangalore,Yes,Low,davidlewis@example.net
C00174,50,Male,Matthew Warren,"75,000-99,999",Lucknow,Yes,High,fbentley@example.com
C00175,58,Male,Grant Howell,"50,000-74,999",Ahmedabad,No,Medium,joesanchez@example.com
C00176,24,Male,Michael Castillo,"75,000-99,999",Kolkata,No,Medium,ocarlson@example.com
C00177,79,Male,Sean Nguyen,"50,000-74,999",Ahmedabad,No,Medium,scottberger@example.net
C00178,23,Female,Alan Holloway,"100,000+",Kolkata,Yes,High,harrisonlance@example.org
C00179,50,Female,Mike Moore,"<25,000",Mumbai,No,Medium,lopezkeith@example.net
C00180,81,Female,Mark Bates,"25,000-49,999",Pune,No,High,kimberlywhite@example.com
C00181,22,Male,Ryan Vargas,"<25,000",Lucknow,Yes,Low,hrandolph@example.org
C00182,71,Male,Melissa Marquez,"75,000-99,999",Pune,No,Low,heatherskinner@example.com
C00183,56,Female,Charles Moss,"50,000-74,999",Mumbai,No,Medium,grace67@example.net
C00184,52,Female,Dillon Peters,"75,000-99,999",Ahmedabad,No,Low,foxalexander@example.net
C00185,21,Male,Richard Velasquez,"100,000+",Kanpur,No,High,thomasheather@example.com
C00186,45,Male,Wayne Sanchez,"50,000-74,999",Chennai,Yes,Medium,kdiaz@example.com
C00187,48,Male,Todd Spencer,"75,000-99,999",Kolkata,Yes,High,golson@example.com
C00188,76,Male,Jordan Allen,"100,000+",Delhi,Yes,Low,uroy@example.net
C00189,79,Female,Robert Tran,"50,000-74,999",Hyderabad,Yes,Low,murillojennifer@example.com
C00190,25,Male,Melanie Adams,"50,000-74,999",Delhi,Yes,Medium,julie56@example.org
C00191,63,Male,Emma Mcmahon,"100,000+",Pune,Yes,Medium,jerrymartinez@example.net
C00192,71,Male,Shannon Ramirez,"100,000+",Surat,Yes,High,bjohnson@example.net
C00193,24,Male,Vickie Hill,"50,000-74,999",Chennai,Yes,High,karenayala@example.net
C00194,64,Male,Dale Buchanan,"75,000-99,999",Lucknow,Yes,High,nataliegarza@example.net
C00195,38,Female,Douglas Martin,"75,000-99,999",Hyderabad,Yes,High,estradajohn@example.org
C00196,77,Female,Victor Tapia,"25,000-49,999",Lucknow,No,Medium,juanrivera@example.com
C00197,47,Female,Jessica Lee,"100,000+",Surat,Yes,Medium,coopermichael@example.com
C00198,39,Male,Ralph Higgins,"25,000-49,999",Pune,Yes,Low,usmith@example.org
C00199,59,Male,Juan Owens,"100,000+",Jaipur,Yes,Low,michaelcarpenter@example.net
C00200,45,Female,Angela Robinson,"25,000-49,999",Surat,No,Low,kristinarios@example.org
C00201,55,Male,Phillip Stanton,"100,000+",Lucknow,No,Low,freemanjames@example.org
C00202,77,Male,Mrs. Jean Barnett,"25,000-49,999",Kanpur,No,Low,xfranco@example.net
C00203,47,Male,Douglas King,"<25,000",Pune,No,High,hyoung@example.net
C00204,64,Female,Stanley Wu,"25,000-49,999",Kolkata,Yes,Medium,xreed@example.net
C00205,23,Male,Matthew Jenkins,"25,000-49,999",Hyderabad,Yes,Low,brian81@example.com
C00206,78,Male,Rachel Coleman,"<25,000",Chennai,No,High,andrewthompson@example.net
C00207,25,Male,Lynn Gibson,"75,000-99,999",Pune,No,Medium,jorgebutler@example.net
C00208,62,Female,Alicia Compton,"50,000-74,999",Surat,No,High,hicksmatthew@example.net
C00209,63,Male,David Pratt,"100,000+",Pune,Yes,Low,tdonovan@example.net
C00210,80,Female,Erica Williams,"25,000-49,999",Kolkata,Yes,High,lperez@example.org
C00211,77,Female,Lindsay Brandt,"100,000+",Bangalore,No,Low,nthompson@example.com
C00212,53,Female,Lonnie Roberts,"50,000-74,999",Kolkata,No,Medium,meadowstiffany@example.net
C00213,83,Female,Jerry Watkins,"25,000-49,999",Chennai,Yes,Medium,osanchez@example.net
C00214,74,Female,Matthew Sloan,"50,000-74,999",Mumbai,Yes,Low,kylekim@example.org
C00215,22,Male,Juan Fuller,"75,000-99,999",Surat,No,Low,melissa99@example.org
C00216,39,Female,Wayne Roberts,"<25,000",Bangalore,Yes,Medium,betty43@example.com
C00217,31,Female,Dennis Liu,"100,000+",Delhi,Yes,High,leejesse@example.org
C00218,42,Male,Lindsay Gutierrez,"50,000-74,999",Pune,No,Medium,rking@example.com
C00219,63,Male,Andrew Mata,"75,000-99,999",Lucknow,No,High,stevenhernandez@example.org
C00220,46,Male,Heather Moore,"100,000+",Lucknow,Yes,Medium,iwhite@example.net
C00221,51,Male,Tiffany Sloan,"<25,000",Lucknow,Yes,High,carloswood@example.net
C00222,71,Male,Donna Nelson,"<25,000",Jaipur,Yes,Medium,jkeller@example.com
C00223,78,Male,Walter Castillo,"75,000-99,999",Kanpur,Yes,Low,isabel50@example.net
C00224,49,Female,Alyssa Franco,"100,000+",Jaipur,No,High,linda00@example.com
C00225,56,Male,Amanda Jones,"100,000+",Hyderabad,Yes,High,nicholas54@example.org
C00226,49,Female,Maxwell Heath,"<25,000",Kanpur,No,High,beverlyjones@example.net
C00227,72,Male,Charles Keith,"100,000+",Kolkata,Yes,High,mary94@example.net
C00228,67,Male,Kevin Henry,"<25,000",Surat,Yes,Medium,brandondrake@example.com
C00229,78,Female,Anthony Smith,"<25,000",Pune,No,High,garzascott@example.net
C00230,39,Male,Shane Nelson,"50,000-74,999",Ahmedabad,No,Low,emily80@example.org
C00231,45,Male,Emily Anderson,"25,000-49,999",Bangalore,No,Medium,nicholas50@example.com
C00232,79,Male,Tanya Dean,"75,000-99,999",Bangalore,Yes,High,sara36@example.com
C00233,79,Female,Sandra Garcia,"100,000+",Hyderabad,Yes,Medium,fstanley@example.org
C00234,71,Male,Nicole Benson,"50,000-74,999",Lucknow,Yes,Low,yrobinson@example.org
C00235,59,Male,Miguel Wilson,"50,000-74,999",Chennai,Yes,Medium,jordanjennifer@example.org
C00236,37,Female,Lisa Oliver,"100,000+",Lucknow,Yes,Medium,khall@example.net
C00237,23,Female,Jordan Rice,"100,000+",Chennai,No,Low,sarah68@example.org
C00238,37,Female,Sara Robinson,"100,000+",Mumbai,Yes,Medium,chad34@example.org
C00239,41,Female,Mark Mosley,"50,000-74,999",Pune,Yes,Low,frankhill@example.com
C00240,42,Female,Brittany Townsend,"<25,000",Lucknow,No,Medium,stonegabriella@example.com
C00241,37,Male,Ryan Jones,"75,000-99,999",Surat,Yes,Low,ericramos@example.org
C00242,63,Female,Brenda Parker,"100,000+",Pune,No,High,phamchristy@example.net
C00243,63,Male,Amanda Clark,"50,000-74,999",Bangalore,No,High,christinapeterson@example.com
C00244,23,Female,Stacy Ortiz,"<25,000",Ahmedabad,No,Medium,stuartdonna@example.org
C00245,30,Male,Amanda Anderson,"75,000-99,999",Chennai,Yes,Medium,ericroberts@example.net
C00246,30,Male,Terry Kerr,"50,000-74,999",Kanpur,Yes,High,olucas@example.com
C00247,61,Male,Emily Donovan,"25,000-49,999",Mumbai,No,Medium,cmartin@example.net
C00248,52,Female,Patricia Mclean,"25,000-49,999",Lucknow,Yes,Low,crystal19@example.com
C00249,36,Male,Jennifer Harris,"75,000-99,999",Kolkata,Yes,Medium,grahammelinda@example.net
C00250,48,Male,Robert Alvarez,"75,000-99,999",Kanpur,No,Medium,janetfuller@example.org
C00251,71,Male,Matthew Anderson,"75,000-99,999",Jaipur,No,Medium,dmaxwell@example.org
C00252,44,Female,Angela Caldwell,"<25,000",Kanpur,No,High,qtorres@example.net
C00253,76,Male,Eric Pham,"25,000-49,999",Pune,No,High,andradekatherine@example.com
C00254,26,Male,Brittany Moore,"100,000+",Lucknow,Yes,Medium,rhodesstephanie@example.com
C00255,48,Male,Melanie Pierce,"50,000-74,999",Chennai,No,High,christopher78@example.org
C00256,73,Male,Richard Peterson,"100,000+",Kanpur,No,High,tphillips@example.org
C00257,46,Male,Sarah Hammond,"100,000+",Ahmedabad,Yes,Medium,jeremyjohnson@example.org
C00258,63,Female,Carrie Gordon,"25,000-49,999",Kolkata,Yes,High,lindsay55@example.net
C00259,42,Female,Tricia Brown DVM,"<25,000",Jaipur,No,Medium,aaronphillips@example.com
C00260,26,Male,Andrew Pugh,"25,000-49,999",Lucknow,Yes,Medium,clee@example.net
C00261,31,Male,Richard Smith,"<25,000",Delhi,No,High,kdunn@example.org
C00262,60,Female,Christopher Rivera,"25,000-49,999",Kolkata,No,High,vkim@example.net
C00263,63,Male,Joshua Martin,"<25,000",Chennai,No,High,jimeneznathan@example.com
C00264,73,Male,Dustin Richardson,"<25,000",Hyderabad,No,High,jcastro@example.com
C00265,72,Male,Shane Brown,"100,000+",Kanpur,Yes,Medium,anguyen@example.net
C00266,37,Male,Michelle Smith,"75,000-99,999",Delhi,Yes,Low,osimmons@example.net
C00267,60,Male,Jose Ruiz,"50,000-74,999",Ahmedabad,No,Low,paul62@example.org
C00268,59,Female,Jamie Davis,"75,000-99,999",Pune,Yes,High,nolanheather@example.net
C00269,62,Female,Mr. Jon Smith,"50,000-74,999",Kanpur,No,High,evansjames@example.net
C00270,72,Female,Kristine Weber,"75,000-99,999",Bangalore,No,Low,andrewmurphy@example.org
C00271,31,Female,Heather Allen,"100,000+",Chennai,No,High,kylebeasley@example.net
C00272,83,Male,Suzanne Martin,"50,000-74,999",Delhi,Yes,Medium,bflores@example.com
C00273,48,Female,Ronald Nolan,"100,000+",Mumbai,Yes,Low,mariabrown@example.net
C00274,29,Female,Hannah Matthews,"50,000-74,999",Ahmedabad,No,Medium,daniel25@example.org
C00275,77,Male,Holly Murphy,"50,000-74,999",Jaipur,Yes,High,jmaxwell@example.net
C00276,67,Male,Jacob Odom,"50,000-74,999",Kanpur,No,High,suarezeric@example.com
C00277,49,Female,Joshua Sanders,"75,000-99,999",Kanpur,Yes,High,bendersarah@example.com
C00278,64,Male,Eric Martin,"<25,000",Pune,Yes,Low,nicole19@example.net
C00279,64,Male,Jeffrey Gonzalez,"<25,000",Mumbai,Yes,Low,thorntonshelly@example.org
C00280,84,Male,Justin Hancock,"75,000-99,999",Bangalore,No,Medium,heather99@example.net
C00281,49,Female,Angela Sloan,"75,000-99,999",Delhi,Yes,High,tracy08@example.org
C00282,59,Female,Lori Cruz,"75,000-99,999",Delhi,No,Low,jessica62@example.net
C00283,37,Female,Nathaniel Marshall,"25,000-49,999",Jaipur,No,High,elizabethhawkins@example.org
C00284,70,Male,Tina Giles,"50,000-74,999",Delhi,No,High,wlopez@example.com
C00285,46,Female,Elizabeth Compton,"100,000+",Kolkata,No,High,tinahorton@example.org
C00286,52,Female,Jennifer Hill,"75,000-99,999",Kolkata,Yes,Low,richard20@example.net
C00287,80,Female,Brittany Wheeler,"75,000-99,999",Delhi,No,Low,anthonymills@example.net
C00288,58,Female,Paul Riley,"75,000-99,999",Lucknow,No,Medium,angelakent@example.net
C00289,52,Male,Lisa Valentine DDS,"75,000-99,999",Jaipur,No,High,oray@example.org
C00290,39,Male,Alice Riley,"50,000-74,999",Lucknow,Yes,Medium,pattersonjennifer@example.com
C00291,27,Female,Peter Smith,"25,000-49,999",Surat,Yes,Medium,spencereric@example.org
C00292,35,Female,Rebecca Ayala,"50,000-74,999",Chennai,Yes,High,brittanybarr@example.net
C00293,25,Male,Ryan Dominguez,"<25,000",Chennai,No,High,scottshannon@example.com
C00294,62,Female,Amanda Johnston,"50,000-74,999",Bangalore,Yes,Low,tford@example.com
C00295,29,Male,Taylor Holland,"25,000-49,999",Delhi,Yes,Low,wjones@example.net
C00296,54,Female,Dawn Johnson,"100,000+",Mumbai,Yes,Low,davidrojas@example.com
