Customer ID,Age,Gender,Name,Income Level,Location,Loyalty Program,Purchase Frequency,Mail ID,Age Group,Loyalty Indicator,Income Level Indicator,Customer Segment
C0072,32,Male,Melissa Marsh,"75,000-99,999",Jaipur,Yes,Low,hbarnett@example.org,30-39,1,4,Premium Low
C0073,39,Female,Terri Ibarra,"75,000-99,999",Bangalore,Yes,Medium,johnsondale@example.com,30-39,1,4,Premium Medium
C0074,40,Male,Shannon Douglas,"<25,000",Kanpur,Yes,Medium,preston06@example.org,40-49,1,1,Economy
C0075,68,Female,Mark Hill,"75,000-99,999",Hyderabad,Yes,High,waltonsandra@example.org,60-69,1,4,Premium High
C0076,71,Female,Jasmine Thomas,"100,000+",Mumbai,Yes,High,nicole61@example.org,70-79,1,5,Premium High
C0077,71,Male,Julie Richards,"100,000+",Bangalore,No,Medium,seanchambers@example.com,70-79,0,5,Premium Medium
C0078,78,Female,Michelle Burns,"50,000-74,999",Ahmedabad,No,Low,tonya75@example.org,70-79,0,3,Middle Class
C0079,43,Female,Katherine Marshall,"75,000-99,999",Jaipur,Yes,Medium,jbennett@example.net,40-49,1,4,Premium Medium
C0080,69,Male,Michael Wagner,"25,000-49,999",Chennai,No,Low,qstanley@example.net,60-69,0,2,Economy
C0081,27,Female,Jeffrey Orr,"75,000-99,999",Mumbai,No,Low,qblair@example.net,20-29,0,4,Premium Low
C0082,45,Male,Angela Little,"100,000+",Pune,No,Medium,ericawagner@example.org,40-49,0,5,Premium Medium
C0083,53,Female,Eric Johnson,"<25,000",Kanpur,No,Medium,benjaminshields@example.net,50-59,0,1,Economy
C0084,36,Male,Haley Robertson,"75,000-99,999",Chennai,No,Medium,shannonclay@example.com,30-39,0,4,Premium Medium
C0085,67,Male,Richard Smith,"25,000-49,999",Chennai,Yes,High,davidsmith@example.net,60-69,1,2,Economy
C0086,79,Female,Tracy Lee DVM,"50,000-74,999",Jaipur,No,Low,brooke78@example.com,70-79,0,3,Middle Class
C0087,25,Female,Travis Weber,"75,000-99,999",Hyderabad,Yes,High,etorres@example.org,20-29,1,4,Premium High
C0088,51,Male,Debra Shelton,"50,000-74,999",Pune,No,Medium,teresadonaldson@example.net,50-59,0,3,Middle Class
C0089,76,Female,Matthew Reeves,"75,000-99,999",Chennai,No,Low,cookhannah@example.org,70-79,0,4,Premium Low
C0090,56,Female,Martin Sanchez,"75,000-99,999",Lucknow,Yes,Low,andrew71@example.org,50-59,1,4,Premium Low
C0091,81,Male,Alexandra Turner,"50,000-74,999",Pune,No,Low,jeffreyestrada@example.com,80+,0,3,Middle Class
C0092,55,Female,Sarah Rodriguez,"<25,000",Bangalore,Yes,Medium,david58@example.org,50-59,1,1,Economy
C0093,29,Male,Jaime Rowland,"50,000-74,999",Surat,No,Low,john89@example.net,20-29,0,3,Middle Class
C0094,39,Female,Daniel Owens,"75,000-99,999",Chennai,Yes,Low,marialewis@example.com,30-39,1,4,Premium Low
C0095,49,Female,Brittany Hughes,"25,000-49,999",Kanpur,No,Low,piercecole@example.net,40-49,0,2,Economy
C0096,81,Female,Martin Stevens,"75,000-99,999",Delhi,Yes,Medium,jonesrachel@example.org,80+,1,4,Premium Medium
C0097,39,Male,Brett Lozano,"25,000-49,999",Bangalore,No,Low,elizabethsimmons@example.org,30-39,0,2,Economy
C0098,78,Female,Rachel Reyes,"<25,000",Pune,Yes,Low,salazarjoseph@example.com,70-79,1,1,Economy
C0099,23,Male,Keith Maddox,"<25,000",Bangalore,No,High,lopezryan@example.org,20-29,0,1,Economy
C00100,68,Male,Lisa Hernandez,"50,000-74,999",Hyderabad,Yes,Medium,michaelruiz@example.com,60-69,1,3,Middle Class
C00101,47,Male,Marie Watts,"50,000-74,999",Ahmedabad,No,Medium,kimberlyklein@example.net,40-49,0,3,Middle Class
C00102,82,Male,Mary Mills,"50,000-74,999",Jaipur,Yes,Medium,raymond80@example.com,80+,1,3,Middle Class
C00103,52,Male,Catherine Green,"25,000-49,999",Ahmedabad,Yes,Low,ryanstephanie@example.org,50-59,1,2,Economy
C00104,22,Male,Omar Bradshaw,"75,000-99,999",Bangalore,Yes,Low,anna98@example.com,20-29,1,4,Premium Low
C00105,79,Female,Victor Logan,"50,000-74,999",Lucknow,No,High,hoganjennifer@example.com,70-79,0,3,Middle Class
C00106,51,Female,Jeffrey Miller,"<25,000",Lucknow,No,High,kevin90@example.com,50-59,0,1,Economy
C00107,57,Male,Cody Long,"25,000-49,999",Mumbai,No,High,scottsanchez@example.org,50-59,0,2,Economy
C00108,51,Male,Rachael Dickson,"100,000+",Mumbai,Yes,Low,bettycox@example.com,50-59,1,5,Premium Low
C00109,31,Male,Martha Stone,"100,000+",Kanpur,Yes,High,shannonwong@example.org,30-39,1,5,Premium High
C00110,69,Male,Mark Hunt,"75,000-99,999",Ahmedabad,Yes,Medium,beth38@example.com,60-69,1,4,Premium Medium
C00111,74,Female,Steve Pena,"100,000+",Kolkata,Yes,High,mrowe@example.net,70-79,1,5,Premium High
C00112,44,Female,Samuel Trevino,"100,000+",Kolkata,Yes,High,benjamin62@example.org,40-49,1,5,Premium High
C00113,48,Male,Jasmine Chang,"25,000-49,999",Hyderabad,No,Medium,anthony59@example.com,40-49,0,2,Economy
C00114,33,Female,Laurie Brown,"75,000-99,999",Kanpur,No,High,melanie40@example.org,30-39,0,4,Premium High
C00115,48,Male,Amanda Davis,"<25,000",Mumbai,No,Medium,whitneywashington@example.org,40-49,0,1,Economy
C00116,81,Female,Colin Myers,"50,000-74,999",Hyderabad,No,High,srobinson@example.org,80+,0,3,Middle Class
C00117,62,Female,Ashley Jones,"100,000+",Pune,Yes,Medium,robert05@example.net,60-69,1,5,Premium Medium
C00118,27,Female,Neil Johnson,"25,000-49,999",Jaipur,No,Medium,carriegarcia@example.net,20-29,0,2,Economy
C00119,26,Male,Jonathan Wyatt,"75,000-99,999",Hyderabad,Yes,High,charlotte13@example.org,20-29,1,4,Premium High
C00120,33,Male,Christian Kennedy,"100,000+",Mumbai,Yes,Medium,dperkins@example.org,30-39,1,5,Premium Medium
C00121,38,Male,Rachel Brown,"25,000-49,999",Kolkata,Yes,High,hwilliams@example.net,30-39,1,2,Economy
C00122,61,Male,Andrew Wright,"75,000-99,999",Lucknow,Yes,High,esmith@example.com,60-69,1,4,Premium High
C00123,82,Female,Debra Garcia,"75,000-99,999",Hyderabad,Yes,High,halvarez@example.com,80+,1,4,Premium High
C00124,34,Male,Mathew Bass,"<25,000",Chennai,No,High,mayobenjamin@example.net,30-39,0,1,Economy
C00125,64,Female,Jack Ford,"50,000-74,999",Delhi,Yes,Low,davidlivingston@example.net,60-69,1,3,Middle Class
C00126,48,Female,Jennifer Clark,"50,000-74,999",Bangalore,Yes,Medium,nkim@example.com,40-49,1,3,Middle Class
C00127,49,Male,Laura Ramos,"100,000+",Kolkata,No,Medium,whensley@example.com,40-49,0,5,Premium Medium
C00128,21,Female,Jerome Daniels,"25,000-49,999",Bangalore,No,Low,uward@example.net,20-29,0,2,Economy
C00129,41,Male,Angel Jones,"100,000+",Ahmedabad,No,Medium,pguerra@example.com,40-49,0,5,Premium Medium
C00130,24,Female,Austin Moss,"100,000+",Kolkata,No,Medium,amyreid@example.com,20-29,0,5,Premium Medium
C00131,54,Female,Brian Rogers,"75,000-99,999",Surat,No,Low,hklein@example.com,50-59,0,4,Premium Low
C00132,78,Male,Ronald Gallegos,"100,000+",Bangalore,Yes,High,mary85@example.com,70-79,1,5,Premium High
C00133,39,Male,David Evans,"50,000-74,999",Kanpur,No,Low,brownmichael@example.org,30-39,0,3,Middle Class
C00134,82,Female,Joseph Horn,"50,000-74,999",Mumbai,Yes,High,ycochran@example.net,80+,1,3,Middle Class
C00135,52,Female,Danny Ellis,"100,000+",Chennai,No,High,sbowers@example.org,50-59,0,5,Premium High
C00136,70,Male,Paige Ritter,"50,000-74,999",Mumbai,No,High,jasmine26@example.net,70-79,0,3,Middle Class
C00137,28,Female,Alan Sanchez,"75,000-99,999",Jaipur,Yes,High,williamsullivan@example.net,20-29,1,4,Premium High
C00138,66,Male,Mr. Steven Simon,"100,000+",Jaipur,Yes,High,isaac42@example.org,60-69,1,5,Premium High
C00139,61,Male,George Adams,"<25,000",Kolkata,Yes,Medium,margaret91@example.org,60-69,1,1,Economy
C00140,37,Male,Billy Pacheco,"25,000-49,999",Mumbai,No,Medium,james13@example.org,30-39,0,2,Economy
C00141,22,Male,Autumn White,"75,000-99,999",Pune,Yes,Low,destinygarner@example.net,20-29,1,4,Premium Low
C00142,64,Female,Maria Stout,"100,000+",Jaipur,Yes,Low,lkelly@example.com,60-69,1,5,Premium Low
C00143,53,Female,Casey Smith,"100,000+",Hyderabad,Yes,High,whitemark@example.net,50-59,1,5,Premium High
C00144,51,Female,Sherry Gray,"25,000-49,999",Mumbai,No,Medium,kgoodwin@example.net,50-59,0,2,Economy
C00145,38,Male,Rick Owens,"50,000-74,999",Chennai,No,Medium,kenneth10@example.com,30-39,0,3,Middle Class
C00146,33,Male,Kenneth Moran,"50,000-74,999",Surat,Yes,High,johnsonheather@example.com,30-39,1,3,Middle Class
C00147,64,Male,Tonya Lawson,"75,000-99,999",Ahmedabad,Yes,Medium,hammondterri@example.org,60-69,1,4,Premium Medium
C00148,56,Male,Alexis Mcpherson,"50,000-74,999",Mumbai,Yes,Medium,juanfox@example.org,50-59,1,3,Middle Class
C00149,64,Male,Jeffrey Santos,"<25,000",Pune,Yes,High,hroberson@example.com,60-69,1,1,Economy
C00150,42,Male,Lindsey Spencer,"25,000-49,999",Bangalore,No,Medium,samanthacraig@example.net,40-49,0,2,Economy
C00151,53,Male,Jessica Torres,"25,000-49,999",Kanpur,No,Low,robin49@example.com,50-59,0,2,Economy
C00152,42,Male,Jessica Collins,"25,000-49,999",Surat,No,Low,kevin57@example.com,40-49,0,2,Economy
C00153,60,Female,Leon Hunt,"25,000-49,999",Ahmedabad,No,Low,ghanson@example.org,60-69,0,2,Economy
C00154,25,Male,Andres Frank,"50,000-74,999",Mumbai,Yes,High,jacksonwilliam@example.com,20-29,1,3,Middle Class
C00155,50,Female,Jason Benson,"25,000-49,999",Mumbai,No,High,ryanhall@example.com,50-59,0,2,Economy
C00156,36,Male,John Garner,"25,000-49,999",Chennai,Yes,Medium,laurie78@example.net,30-39,1,2,Economy
C00157,52,Male,Jonathan Riley,"25,000-49,999",Delhi,Yes,Low,danielle01@example.net,50-59,1,2,Economy
C00158,34,Male,Hunter Jackson,"<25,000",Hyderabad,No,Medium,manuelfox@example.org,30-39,0,1,Economy
C00159,45,Female,Ashley Williams,"75,000-99,999",Jaipur,Yes,High,daviskelly@example.org,40-49,1,4,Premium High
C00160,32,Female,Debra Robinson,"25,000-49,999",Chennai,Yes,High,vwebb@example.net,30-39,1,2,Economy
C00161,66,Male,Virginia Summers,"75,000-99,999",Kolkata,Yes,Low,dnguyen@example.com,60-69,1,4,Premium Low
C00162,49,Female,Cynthia Berry,"<25,000",Pune,No,Low,cooperann@example.org,40-49,0,1,Economy
C00163,65,Female,Rhonda Palmer,"25,000-49,999",Ahmedabad,Yes,High,patricia37@example.com,60-69,1,2,Economy
C00164,26,Female,Cathy Perez,"<25,000",Kanpur,No,Low,emilyferguson@example.org,20-29,0,1,Economy
C00165,39,Female,Steven Wheeler,"25,000-49,999",Ahmedabad,Yes,High,courtneyshields@example.net,30-39,1,2,Economy
C00166,40,Male,Sandra Stewart,"<25,000",Kanpur,No,High,mariagonzalez@example.net,40-49,0,1,Economy
C00167,31,Male,Angel Collins,"100,000+",Ahmedabad,No,Medium,diane86@example.com,30-39,0,5,Premium Medium
C00168,47,Female,Stephanie Williams,"<25,000",Hyderabad,No,Medium,vincentchristopher@example.net,40-49,0,1,Economy
C00169,80,Male,Joe Myers,"25,000-49,999",Ahmedabad,No,High,ryan76@example.com,80+,0,2,Economy
C00170,22,Female,Steven Pierce,"<25,000",Surat,Yes,High,tsanchez@example.com,20-29,1,1,Economy
C00171,27,Male,Raymond Roberson,"100,000+",Lucknow,No,Low,smithstacy@example.org,20-29,0,5,Premium Low
C00172,55,Female,Tyler Combs,"75,000-99,999",Chennai,No,Low,erica72@example.org,50-59,0,4,Premium Low
C00173,62,Male,Andre Steele,"<25,000",Bangalore,Yes,Low,davidlewis@example.net,60-69,1,1,Economy
C00174,50,Male,Matthew Warren,"75,000-99,999",Lucknow,Yes,High,fbentley@example.com,50-59,1,4,Premium High
C00175,58,Male,Grant Howell,"50,000-74,999",Ahmedabad,No,Medium,joesanchez@example.com,50-59,0,3,Middle Class
C00176,24,Male,Michael Castillo,"75,000-99,999",Kolkata,No,Medium,ocarlson@example.com,20-29,0,4,Premium Medium
C00177,79,Male,Sean Nguyen,"50,000-74,999",Ahmedabad,No,Medium,scottberger@example.net,70-79,0,3,Middle Class
C00178,23,Female,Alan Holloway,"100,000+",Kolkata,Yes,High,harrisonlance@example.org,20-29,1,5,Premium High
C00179,50,Female,Mike Moore,"<25,000",Mumbai,No,Medium,lopezkeith@example.net,50-59,0,1,Economy
C00180,81,Female,Mark Bates,"25,000-49,999",Pune,No,High,kimberlywhite@example.com,80+,0,2,Economy
C00181,22,Male,Ryan Vargas,"<25,000",Lucknow,Yes,Low,hrandolph@example.org,20-29,1,1,Economy
C00182,71,Male,Melissa Marquez,"75,000-99,999",Pune,No,Low,heatherskinner@example.com,70-79,0,4,Premium Low
C00183,56,Female,Charles Moss,"50,000-74,999",Mumbai,No,Medium,grace67@example.net,50-59,0,3,Middle Class
C00184,52,Female,Dillon Peters,"75,000-99,999",Ahmedabad,No,Low,foxalexander@example.net,50-59,0,4,Premium Low
C00185,21,Male,Richard Velasquez,"100,000+",Kanpur,No,High,thomasheather@example.com,20-29,0,5,Premium High
C00186,45,Male,Wayne Sanchez,"50,000-74,999",Chennai,Yes,Medium,kdiaz@example.com,40-49,1,3,Middle Class
C00187,48,Male,Todd Spencer,"75,000-99,999",Kolkata,Yes,High,golson@example.com,40-49,1,4,Premium High
C00188,76,Male,Jordan Allen,"100,000+",Delhi,Yes,Low,uroy@example.net,70-79,1,5,Premium Low
C00189,79,Female,Robert Tran,"50,000-74,999",Hyderabad,Yes,Low,murillojennifer@example.com,70-79,1,3,Middle Class
C00190,25,Male,Melanie Adams,"50,000-74,999",Delhi,Yes,Medium,julie56@example.org,20-29,1,3,Middle Class
C00191,63,Male,Emma Mcmahon,"100,000+",Pune,Yes,Medium,jerrymartinez@example.net,60-69,1,5,Premium Medium
C00192,71,Male,Shannon Ramirez,"100,000+",Surat,Yes,High,bjohnson@example.net,70-79,1,5,Premium High
C00193,24,Male,Vickie Hill,"50,000-74,999",Chennai,Yes,High,karenayala@example.net,20-29,1,3,Middle Class
C00194,64,Male,Dale Buchanan,"75,000-99,999",Lucknow,Yes,High,nataliegarza@example.net,60-69,1,4,Premium High
C00195,38,Female,Douglas Martin,"75,000-99,999",Hyderabad,Yes,High,estradajohn@example.org,30-39,1,4,Premium High
C00196,77,Female,Victor Tapia,"25,000-49,999",Lucknow,No,Medium,juanrivera@example.com,70-79,0,2,Economy
C00197,47,Female,Jessica Lee,"100,000+",Surat,Yes,Medium,coopermichael@example.com,40-49,1,5,Premium Medium
C00198,39,Male,Ralph Higgins,"25,000-49,999",Pune,Yes,Low,usmith@example.org,30-39,1,2,Economy
C00199,59,Male,Juan Owens,"100,000+",Jaipur,Yes,Low,michaelcarpenter@example.net,50-59,1,5,Premium Low
C00200,45,Female,Angela Robinson,"25,000-49,999",Surat,No,Low,kristinarios@example.org,40-49,0,2,Economy
C00201,55,Male,Phillip Stanton,"100,000+",Lucknow,No,Low,freemanjames@example.org,50-59,0,5,Premium Low
C00202,77,Male,Mrs. Jean Barnett,"25,000-49,999",Kanpur,No,Low,xfranco@example.net,70-79,0,2,Economy
C00203,47,Male,Douglas King,"<25,000",Pune,No,High,hyoung@example.net,40-49,0,1,Economy
C00204,64,Female,Stanley Wu,"25,000-49,999",Kolkata,Yes,Medium,xreed@example.net,60-69,1,2,Economy
C00205,23,Male,Matthew Jenkins,"25,000-49,999",Hyderabad,Yes,Low,brian81@example.com,20-29,1,2,Economy
C00206,78,Male,Rachel Coleman,"<25,000",Chennai,No,High,andrewthompson@example.net,70-79,0,1,Economy
C00207,25,Male,Lynn Gibson,"75,000-99,999",Pune,No,Medium,jorgebutler@example.net,20-29,0,4,Premium Medium
C00208,62,Female,Alicia Compton,"50,000-74,999",Surat,No,High,hicksmatthew@example.net,60-69,0,3,Middle Class
C00209,63,Male,David Pratt,"100,000+",Pune,Yes,Low,tdonovan@example.net,60-69,1,5,Premium Low
C00210,80,Female,Erica Williams,"25,000-49,999",Kolkata,Yes,High,lperez@example.org,80+,1,2,Economy
C00211,77,Female,Lindsay Brandt,"100,000+",Bangalore,No,Low,nthompson@example.com,70-79,0,5,Premium Low
C00212,53,Female,Lonnie Roberts,"50,000-74,999",Kolkata,No,Medium,meadowstiffany@example.net,50-59,0,3,Middle Class
C00213,83,Female,Jerry Watkins,"25,000-49,999",Chennai,Yes,Medium,osanchez@example.net,80+,1,2,Economy
C00214,74,Female,Matthew Sloan,"50,000-74,999",Mumbai,Yes,Low,kylekim@example.org,70-79,1,3,Middle Class
C00215,22,Male,Juan Fuller,"75,000-99,999",Surat,No,Low,melissa99@example.org,20-29,0,4,Premium Low
C00216,39,Female,Wayne Roberts,"<25,000",Bangalore,Yes,Medium,betty43@example.com,30-39,1,1,Economy
C00217,31,Female,Dennis Liu,"100,000+",Delhi,Yes,High,leejesse@example.org,30-39,1,5,Premium High
C00218,42,Male,Lindsay Gutierrez,"50,000-74,999",Pune,No,Medium,rking@example.com,40-49,0,3,Middle Class
C00219,63,Male,Andrew Mata,"75,000-99,999",Lucknow,No,High,stevenhernandez@example.org,60-69,0,4,Premium High
C00220,46,Male,Heather Moore,"100,000+",Lucknow,Yes,Medium,iwhite@example.net,40-49,1,5,Premium Medium
C00221,51,Male,Tiffany Sloan,"<25,000",Lucknow,Yes,High,carloswood@example.net,50-59,1,1,Economy
C00222,71,Male,Donna Nelson,"<25,000",Jaipur,Yes,Medium,jkeller@example.com,70-79,1,1,Economy
C00223,78,Male,Walter Castillo,"75,000-99,999",Kanpur,Yes,Low,isabel50@example.net,70-79,1,4,Premium Low
C00224,49,Female,Alyssa Franco,"100,000+",Jaipur,No,High,linda00@example.com,40-49,0,5,Premium High
C00225,56,Male,Amanda Jones,"100,000+",Hyderabad,Yes,High,nicholas54@example.org,50-59,1,5,Premium High
C00226,49,Female,Maxwell Heath,"<25,000",Kanpur,No,High,beverlyjones@example.net,40-49,0,1,Economy
C00227,72,Male,Charles Keith,"100,000+",Kolkata,Yes,High,mary94@example.net,70-79,1,5,Premium High
C00228,67,Male,Kevin Henry,"<25,000",Surat,Yes,Medium,brandondrake@example.com,60-69,1,1,Economy
C00229,78,Female,Anthony Smith,"<25,000",Pune,No,High,garzascott@example.net,70-79,0,1,Economy
C00230,39,Male,Shane Nelson,"50,000-74,999",Ahmedabad,No,Low,emily80@example.org,30-39,0,3,Middle Class
